Dist Code,Year,Dist Name,avg_preci
174,2009,Bhatinda,24.435454545454547
174,2010,Bhatinda,41.07363636363636
174,2011,Bhatinda,47.75636363636363
174,2012,Bhatinda,42.20909090909091
174,2013,Bhatinda,38.299090909090914
174,2014,Bhatinda,39.88363636363636
174,2015,Bhatinda,44.67909090909091
175,2000,Sangrur,40.736363636363635
175,2001,Sangrur,39.53909090909091
175,2002,Sangrur,35.14545454545455
175,2003,Sangrur,56.380909090909086
175,2004,Sangrur,32.02363636363636
175,2005,Sangrur,49.75818181818182
175,2006,Sangrur,65.90636363636364
175,2007,Sangrur,43.647272727272735
175,2008,Sangrur,51.056363636363635
175,2009,Sangrur,35.230000000000004
175,2010,Sangrur,55.99818181818182
175,2011,Sangrur,62.14727272727273
175,2012,Sangrur,58.35
175,2013,Sangrur,52.99545454545454
